1981012 Q0 1981012 1 4.83672758 galago
1981012 Q0 685197 2 4.07691754 galago
1981012 Q0 663314 3 3.67657913 galago
1981012 Q0 836712 4 3.55784743 galago
1981012 Q0 1208916 5 3.25484561 galago
1981012 Q0 424198 6 3.24760888 galago
1981012 Q0 406264 7 3.03397261 galago
1981012 Q0 1083246 8 3.03397261 galago
1981012 Q0 1445887 9 3.03397261 galago
1981012 Q0 970919 10 2.91518606 galago
1164242 Q0 664973 1 4.40124534 galago
1164242 Q0 1281963 2 4.12983595 galago
1164242 Q0 1144922 3 3.88515409 galago
1164242 Q0 2139043 4 3.88515409 galago
1164242 Q0 26114 5 3.57045373 galago
1164242 Q0 312141 6 3.57045373 galago
1164242 Q0 362521 7 3.57045373 galago
1164242 Q0 988709 8 3.57045373 galago
1164242 Q0 1265567 9 3.57045373 galago
1164242 Q0 1437659 10 3.57045373 galago
851225 Q0 2345796 1 3.21650619 galago
851225 Q0 59415 2 2.91747289 galago
851225 Q0 851225 3 2.85712030 galago
851225 Q0 1234033 4 2.35774192 galago
851225 Q0 354631 5 2.13799598 galago
851225 Q0 636141 6 2.13799598 galago
851225 Q0 893791 7 2.13799598 galago
851225 Q0 997845 8 2.13799598 galago
851225 Q0 2210747 9 2.13799598 galago
851225 Q0 2213240 10 2.13799598 galago
229027 Q0 229027 1 8.01805640 galago
229027 Q0 479664 2 4.64345859 galago
229027 Q0 1669134 3 4.64345859 galago
229027 Q0 312381 4 3.74112712 galago
229027 Q0 1384411 5 3.41874540 galago
229027 Q0 2005991 6 2.58948616 galago
229027 Q0 2203281 7 2.58948616 galago
229027 Q0 430667 8 2.40719576 galago
229027 Q0 1835371 9 2.31531130 galago
229027 Q0 2157074 10 2.13427391 galago
171884 Q0 171884 1 11.22118040 galago
171884 Q0 1561774 2 10.85880283 galago
171884 Q0 1670211 3 8.39685981 galago
171884 Q0 1168633 4 7.15659990 galago
171884 Q0 1499084 5 7.15659990 galago
171884 Q0 1663096 6 5.08391672 galago
844031 Q0 844031 1 5.75814963 galago
844031 Q0 827297 2 5.74783522 galago
844031 Q0 158295 3 4.92484370 galago
844031 Q0 2265629 4 4.92484370 galago
844031 Q0 1784500 5 4.62064620 galago
844031 Q0 1110678 6 4.08143169 galago
844031 Q0 654494 7 3.87839935 galago
844031 Q0 1296506 8 3.62326802 galago
844031 Q0 1250711 9 3.49851823 galago
844031 Q0 313499 10 3.28557269 galago
25170 Q0 25170 1 4.47012927 galago
25170 Q0 1249694 2 3.87890782 galago
25170 Q0 1488332 3 3.82924894 galago
25170 Q0 176152 4 3.72300137 galago
25170 Q0 178322 5 3.60953215 galago
25170 Q0 1913610 6 3.58237062 galago
25170 Q0 2238110 7 3.51664145 galago
25170 Q0 498967 8 3.37601071 galago
25170 Q0 240514 9 3.32633272 galago
25170 Q0 2006146 10 3.32633272 galago
76925 Q0 76925 1 10.32409817 galago
76925 Q0 878304 2 5.29531995 galago
76925 Q0 947960 3 5.29531995 galago
76925 Q0 1924307 4 5.29531995 galago
30595 Q0 2301405 1 4.69784379 galago
30595 Q0 30595 2 4.63315042 galago
30595 Q0 153404 3 4.55736948 galago
30595 Q0 1226650 4 4.26469528 galago
30595 Q0 293235 5 4.10017879 galago
30595 Q0 576661 6 4.10017879 galago
30595 Q0 619634 7 3.97445576 galago
30595 Q0 997226 8 3.97445576 galago
30595 Q0 1890608 9 3.87040283 galago
30595 Q0 1890862 10 3.86427258 galago
271014 Q0 1474604 1 4.91378580 galago
271014 Q0 271014 2 4.60911838 galago
271014 Q0 438635 3 3.88239239 galago
271014 Q0 302478 4 3.84275246 galago
271014 Q0 1232629 5 3.46324060 galago
271014 Q0 1343216 6 3.14046013 galago
271014 Q0 1594699 7 2.92812647 galago
271014 Q0 95849 8 2.72982055 galago
271014 Q0 987946 9 2.72982055 galago
271014 Q0 386376 10 2.67659782 galago
376370 Q0 593835 1 3.58239855 galago
376370 Q0 899805 2 3.14459598 galago
376370 Q0 434467 3 3.12843157 galago
376370 Q0 211511 4 3.10625190 galago
376370 Q0 1221253 5 3.10625190 galago
